;url;Jahr;Laenge;Motor;Liegeplatz;Rumpfmaterial;YW#;Preis_String;Preis;Waehrung;Versteuert;Reserviert;Preis_Updates;Preis_Entwicklung;Preis_Ent_Datum;Datum_Ersterfassung;Datum_Letztes_Update;Alter_Anzeige
1398;https://www.yachtworld.de/Boote/2011/archambault-m34-3746908/;2011;10;einmotorig / diesel;Ancona, Italien;GFK (Fiberglas);63429-3746908;EUR65,000 Versteuert;65000,0;euro;Ja;Nein;0;65000.0,;;2021-04-01;;
1399;https://www.yachtworld.de/Boote/2014/dufour-335-grand-large-3754682/;2014;10;  /;Šibenik, Kroatien;GFK (Fiberglas);62889-3754682;EUR65,000 Nicht versteuert;65000,0;euro;Nein;Nein;0;65000.0,;;2021-04-01;;
1400;https://www.yachtworld.de/Boote/1992/hallberg-rassy-34-3610489/;1992;10;einmotorig / diesel;Istra, Kroatien;GFK (Fiberglas);77880-3610489;EUR69,000;69000,0;euro;;Nein;0;69000.0,;;2021-04-01;;
1401;https://www.yachtworld.de/Boote/1959/salander-salana-2947246/;1959;10;  /;Griechenland;Holz;79226-2947246;EUR45,000;45000,0;euro;;Nein;0;45000.0,;;2021-04-01;;
1402;https://www.yachtworld.de/Boote/2006/bavaria-33-cruiser-3821542/;2006;10;einmotorig / diesel;Mar Tirreno, Italien;GFK (Fiberglas);78043-3821542;EUR55,000 Versteuert;55000,0;euro;Ja;Nein;0;55000.0,;;2021-04-01;;
1403;https://www.yachtworld.de/Boote/2006/bavaria-33-cruiser-3784992/;2006;10;einmotorig / diesel;Liguria, Italien;GFK (Fiberglas);76817-3784992;EUR55,000 Versteuert;55000,0;euro;Ja;Nein;0;55000.0,;;2021-04-01;;
1404;https://www.yachtworld.de/Boote/2007/bavaria-bavaria-33--3787386/;2007;10;einmotorig / diesel;Lorient , Frankreich;GFK (Fiberglas);79856-3787386;EUR45,000 Versteuert;45000,0;euro;Ja;Nein;0;45000.0,;;2021-04-01;;
1405;https://www.yachtworld.de/Boote/2005/bavaria-cruiser-33-3814613/;2005;10;einmotorig / diesel;Baiona, Spanien;GFK (Fiberglas);76130-3814613;EUR55,000 Versteuert;55000,0;euro;Ja;Nein;0;55000.0,;;2021-04-01;;
1406;https://www.yachtworld.de/Boote/2005/hunter-33-3575416/;2005;10;einmotorig / diesel;West Chazy, NY;GFK (Fiberglas);79440-3575416;Can$79,000 (EUR53,617)Reserviert;53617,0;euro;;Ja;0;53617.0,;;2021-04-01;;
1407;https://www.yachtworld.de/Boote/2000/hunter-340-3557064/;2000;10;einmotorig / diesel;Honolulu, HI;GFK (Fiberglas);80163-3557064;US$65,000 (EUR55,428);55428,0;euro;;Nein;0;55428.0,;;2021-04-01;;
1408;https://www.yachtworld.de/Boote/2008/hunter-hunter-33-biquille-3726618/;2008;10;einmotorig / diesel;LA ROCHELLE, Charente-Maritime, Frankreich;GFK (Fiberglas);80068-3726618;EUR55,000 Versteuert;55000,0;euro;Ja;Nein;0;55000.0,;;2021-04-01;;
1409;https://www.yachtworld.de/Boote/1990/moody-336-3543954/;1990;10;einmotorig / diesel;Troon, South Ayrshire, Großbritannien;GFK (Fiberglas);76373-3543954;£39,000 Versteuert (EUR45,838)Reserviert;45838,0;euro;Ja;Ja;0;45838.0,;;2021-04-01;;
1410;https://www.yachtworld.de/Boote/1971/custom-albert-blok-fifty-3570602/;1971;10;einmotorig / diesel;Itea, Griechenland;Stahl;79319-3570602;EUR45,650 Versteuert;45650,0;euro;Ja;Nein;0;45650.0,;;2021-04-01;;
1411;https://www.yachtworld.de/Boote/1999/finot-g34-3696356/;1999;10;  /;Lanzarote, Canary Islands  , Spanien;GFK (Fiberglas);80614-3696356;EUR47,000 Versteuert;47000,0;euro;Ja;Nein;0;47000.0,;;2021-04-01;;
1412;https://www.yachtworld.de/Boote/1995/maxi-1000-3468173/;1995;10;einmotorig / diesel;Poole, Dorset, Großbritannien;GFK (Fiberglas);78023-3468173;£45,000 Versteuert (EUR52,889)Reserviert;52889,0;euro;Ja;Ja;0;52889.0,;;2021-04-01;;
1413;https://www.yachtworld.de/Boote/1999/maxi-1000-3772630/;1999;10;einmotorig / diesel;Ipswich, Suffolk, Großbritannien;GFK (Fiberglas);74787-3772630;£39,950 Versteuert (EUR46,954)Reserviert;46954,0;euro;Ja;Ja;0;46954.0,;;2021-04-01;;
1414;https://www.yachtworld.de/Boote/1994/maxi-1000-3701361/;1994;10;einmotorig / diesel;Largs, North Ayrshire, Großbritannien;GFK (Fiberglas);76373-3701361;£36,000 Versteuert (EUR42,312)Reserviert;42312,0;euro;Ja;Ja;0;42312.0,;;2021-04-01;;
1415;https://www.yachtworld.de/Boote/1971/aquafibre-ss-34-3801927/;1971;10;einmotorig / diesel;Finistère, Finistère, Frankreich;Anderes;74851-3801927;EUR50,000 Versteuert;50000,0;euro;Ja;Nein;0;50000.0,;;2021-04-01;;
1416;https://www.yachtworld.de/Boote/1985/moody-34-3568503/;1985;10;einmotorig / diesel;La Capellania, Spanien;GFK (Fiberglas);49466-3568503;EUR44,000;44000,0;euro;;Nein;0;44000.0,;;2021-04-01;;
1417;https://www.yachtworld.de/Boote/2004/koopmans-33-3820700/;2004;10;einmotorig / diesel;Numansdorp, Niederlande;Stahl;75918-3820700;EUR55,000 Versteuert;55000,0;euro;Ja;Nein;0;55000.0,;;2021-04-01;;
1418;https://www.yachtworld.de/Boote/1992/custom-malingri-moana-33-2936985/;1992;10;einmotorig / diesel;Italia, Italien;Anderes;57770-2936985;EUR42,000;42000,0;euro;;Nein;0;42000.0,;;2021-04-01;;
1419;https://www.yachtworld.de/Boote/1977/siltala-nauticat-33-3766712/;1977;10;einmotorig / diesel;LA ROCHELLE, Charente-Maritime, Frankreich;GFK (Fiberglas);80068-3766712;EUR44,000 VersteuertReserviert;44000,0;euro;Ja;Ja;0;44000.0,;;2021-04-01;;
1420;https://www.yachtworld.de/Boote/2002/beneteau-331-3648731/;2002;10;einmotorig / diesel;Plattsburgh, NY;GFK (Fiberglas);79440-3648731;Can$79,000 Nicht versteuert (EUR53,617)Reserviert;53617,0;euro;Nein;Ja;0;53617.0,;;2021-04-01;;
1421;https://www.yachtworld.de/Boote/2007/hunter-33-3815880/;2007;10;einmotorig / diesel;Anacortes, WA;GFK (Fiberglas);1012-3815880;US$78,500 (EUR66,940);66940,0;euro;;Nein;0;66940.0,;;2021-04-01;;
1422;https://www.yachtworld.de/Boote/2005/hunter-33-3820824/;2005;10;einmotorig / diesel;Long Beach, CA;GFK (Fiberglas);79847-3820824;US$69,000 (EUR58,839);58839,0;euro;;Nein;0;58839.0,;;2021-04-01;;
1423;https://www.yachtworld.de/Boote/2007/hunter-33-3470355/;2007;10;einmotorig / diesel;Riverside, NJ;GFK (Fiberglas);22584-3470355;US$59,900 (EUR51,079)Reserviert;51079,0;euro;;Ja;0;51079.0,;;2021-04-01;;
1424;https://www.yachtworld.de/Boote/2005/hunter-33-3754757/;2005;10;einmotorig / diesel;Salem, MA;GFK (Fiberglas);1424-3754757;US$49,000 (EUR41,784)Reserviert;41784,0;euro;;Ja;0;41784.0,;;2021-04-01;;
1425;https://www.yachtworld.de/Boote/2009/dufour-325-grand-large-3748079/;2009;10;einmotorig / diesel;Lefkas, Griechenland;GFK (Fiberglas);81952-3748079;EUR44,990 Versteuert;44990,0;euro;Ja;Nein;0;44990.0,;;2021-04-01;;
